Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb
49339,52.03111981,65.90357652,67.53614066,11.18113287,11.01506803,8.362387465,13.3125151,11.98918929,11.67584791,1.104001708,22.21018309
49349,52.03164598,65.72239467,67.83087737,12.492276,10.96288501,7.904516293,12.92820253,12.36663845,11.17635909,1.104015028,22.21944997
49359,52.0205964,66.00078388,68.79273046,12.11235121,11.0133206,8.113750248,12.8443741,12.03853737,12.67039693,1.10399206,22.19374134
49369,52.03167974,66.00793629,69.16217698,11.94623273,11.08090426,8.127809641,12.9715593,12.55707636,12.47859469,1.103977285,22.1746733
49379,52.0752811,65.67597289,66.69429412,11.92045769,10.91135564,8.114143501,12.86153538,12.05607344,10.83072846,1.103929425,22.1759539
49389,52.07160834,66.04396474,67.78588008,11.88721829,10.88780688,8.226142755,12.69755486,11.53096246,12.55619483,1.103893092,22.16818787
49399,52.08326999,65.95069505,68.13941884,11.70566114,11.17713177,7.992710432,13.25194041,11.8599916,12.15198347,1.103888634,22.14618736
49409,52.0867419,66.16569901,68.06821842,11.30152839,10.83838248,8.018454067,12.77853335,12.12047416,13.01084599,1.103823883,22.13470173
49419,52.0916134,66.06183261,68.90222278,11.59132292,10.97607428,8.012232001,13.16457097,12.59463075,12.56339186,1.103822628,22.10580437
49429,52.1080429,66.0321885,69.02054932,11.74179128,10.86246805,7.988924215,13.56769909,12.21790191,12.64176478,1.103786868,22.08681795
49439,52.09323063,65.91624244,67.52268611,11.9455752,11.12530259,7.903844172,12.75105286,11.69044491,12.10646637,1.10377351,22.06268783
49449,52.1039058,65.92657108,68.91259517,12.41922859,11.09894711,8.128326582,12.8043131,12.13544378,12.326336,1.103768702,22.06319012
49459,52.11649668,65.90840387,66.98980698,11.66842306,10.93568637,8.085443195,12.63133,11.66572381,12.00320055,1.103731503,22.06288873
49469,52.11139572,65.81324236,67.16199867,11.50665551,11.02866704,8.063359497,12.87168713,12.04013326,11.65149624,1.103722018,22.07596662
49479,52.11376295,65.91980274,68.49625709,12.0830652,10.95061399,8.33286079,12.49292478,12.2344274,12.40236493,1.10370545,22.0437195
49489,52.1395783,65.88978454,67.22984999,11.58768438,11.07744293,7.936351418,13.09602109,11.73157992,11.80077026,1.103660709,22.05779587
49499,52.15563613,66.01699401,67.99302934,12.03494159,10.86808867,8.102042597,12.61827255,11.80999025,12.55969368,1.103649704,22.05972463
49509,52.16032032,66.01305035,67.26844523,11.26600537,10.73926527,7.669364217,13.09852242,12.31919569,12.17609226,1.103615342,22.06814542
49519,52.17381078,66.00612169,68.44240139,11.54464877,10.92507988,8.080533992,12.81041029,12.50945174,12.57227672,1.103601437,22.08859549
49529,52.17907606,65.82088141,68.08001792,12.23142905,11.01403474,7.979269247,13.31196085,11.83680556,11.70651846,1.103591174,22.09379284
49539,52.18088171,65.81709558,67.67015571,11.87112033,11.01515401,8.022177356,13.1172777,12.03551914,11.60890717,1.103527837,22.08303452
49549,52.18284369,65.92255085,67.38456745,11.50480319,10.80180768,7.949422007,13.1617257,11.81068829,12.15612057,1.103521919,22.13226384
49559,52.183975,65.86699283,67.17911208,11.73177686,10.97992676,8.405451139,12.4766888,11.64046362,11.9448049,1.103537411,22.1495492
49569,52.2002268,65.85821609,66.83366607,11.43057541,10.74391194,7.903644318,12.94227984,12.12000376,11.69325081,1.103501096,22.16514713
49579,52.22490899,66.08485124,69.30269083,12.39428303,10.90803465,7.970897947,13.4973964,12.18374942,12.34832937,1.103459785,22.17870283
49589,52.2308503,66.53892635,74.68974589,13.82685396,12.24960876,7.101849508,14.90749562,13.27837408,13.32556396,1.103453299,22.16634146
