Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate
53368,57.39032138,65.78545535,59.66891134,10.36709424,9.091189538,6.80133248,11.12749073,11.11373994,11.16806441,1.588045788
53378,57.37945204,65.66355571,58.72565012,10.45277067,8.872377474,6.633277546,11.46625973,10.68825304,10.61271165,1.588037826
53388,57.37681389,65.67167741,58.14672505,10.14860011,9.149941074,6.918196583,11.29462129,10.39380114,10.24156486,1.587956783
53398,57.37390865,65.69654931,60.12393794,10.84505728,9.253987952,6.770280498,11.46082096,11.29356499,10.50022627,1.587930518
53408,57.38085413,65.91761726,60.96975183,10.98516645,8.908851609,6.942304567,11.03192003,11.11798776,11.98352141,1.587890962
53418,57.37840704,65.80004274,58.75617478,10.04533395,8.680991569,6.839244931,11.56548415,10.60821321,11.01690697,1.587834103
53428,57.37044507,65.59448229,57.29684498,10.0959092,8.570416725,6.782311028,11.07864024,10.76971216,9.999855619,1.587753008
53438,57.38226829,65.72253126,58.70412705,10.67598797,9.126298706,6.738622815,10.89722075,10.38591105,10.88008576,1.587711461
53448,57.39212449,65.59360794,57.77627913,10.39107329,9.005540419,6.93961241,11.11517127,10.20157448,10.12330727,1.587647466
53458,57.39103301,65.78031164,59.73129359,11.07879379,8.864681945,6.779978983,11.11759901,10.48054699,11.40969287,1.587599595
53468,57.4135826,65.71864957,59.18861535,10.72515841,8.88483635,6.274572962,11.38656747,10.94750531,10.96997485,1.587579922
53478,57.42121063,65.64001571,59.16893556,10.12024682,9.393831606,7.213662276,11.25552051,10.81940178,10.36627258,1.587470411
53488,57.43451694,65.5765289,59.43845472,10.39558447,8.888279407,6.978993346,11.70522788,11.10265991,10.36770971,1.587455412
53498,57.45362354,65.58093417,57.71653215,10.53921412,8.96859033,6.494919884,11.59879966,10.27159234,9.843415823,1.587360868
53508,57.47240711,65.83994664,59.36452974,10.28330587,8.800157284,6.688480727,11.44470472,10.65136043,11.49652071,1.587295486
53518,57.48357442,65.77467615,58.24051442,10.329387,8.633087044,6.605580588,10.97822443,10.43095997,11.26327538,1.587220782
53528,57.51396143,65.61880944,56.53439235,10.17063091,8.965142523,6.130265033,10.61684094,10.4993494,10.15216355,1.587091214
53538,57.53525969,65.7343864,58.01759141,10.56905938,8.741466284,6.398881063,11.09921649,10.41748489,10.79148331,1.586991795
53548,57.56799719,65.68023416,58.02506305,10.87630281,8.571436482,6.492509935,10.73100593,10.49351627,10.86029162,1.586907708
53558,57.59259745,65.60279773,57.26559187,10.70945047,8.774596142,6.650964368,10.36117913,10.52717383,10.24222793,1.586787788
53568,57.60896888,65.54251523,56.57540713,10.41488242,8.335337586,6.280097845,11.53024588,10.0131822,10.00166119,1.586682017
53578,57.64643837,65.75876102,58.13420297,10.71256951,8.478741906,6.627483961,10.94990213,10.43821107,10.92729439,1.585596201
53588,57.67507878,65.50430689,55.93938358,10.13540731,9.049910496,6.432409954,10.85445332,10.52061398,8.946588518,1.58559504
53598,57.70977563,65.63188503,55.75755484,10.21000982,8.417560315,6.251399616,10.66608998,10.49688947,9.715605642,1.585542543
