Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.55869,59.45080833,65.85080275,64.08239618,11.36527417,9.696476796,5.021974939,11.79457225,17.59872066,8.605377364
42046.5588,59.45770665,65.8408849,62.88742433,11.04764259,9.438448841,5.177681148,11.65938197,16.47844781,9.085821969
42046.55892,59.47524924,65.80910587,63.47350859,10.9069319,9.50682673,5.328869412,11.76360344,17.75305657,8.214220539
42046.55903,59.50388976,65.91071238,62.97045022,10.70700192,9.351764211,5.010658083,11.26692411,17.87275651,8.761345386
42046.55915,59.51215887,65.89342619,64.04218456,10.86074782,9.913641663,5.487064285,11.87756452,17.3680016,8.535164677
42046.55926,59.52379633,66.01054604,64.18539973,11.31797476,9.433699307,5.211229065,12.12141846,17.12935809,8.97172005
42046.55938,59.53784359,65.99118564,63.73567343,11.28852745,9.139483868,5.578087653,11.57565393,17.51774198,8.636178551
42046.5595,59.57289078,65.94327381,63.57114068,11.21727683,9.846150827,5.200027556,11.54339015,17.44292943,8.321365879
42046.55961,59.58723848,65.97259898,63.13111208,10.77445914,9.441134543,5.637371692,12.1343727,17.06517434,8.078599671
42046.55973,59.61862275,66.11770847,64.70686593,11.63919591,9.744567888,5.361217336,11.89988822,17.0220434,9.039953171
42046.55984,59.63339498,66.22697453,65.02108148,11.58432289,9.705271985,5.453950978,11.89643844,16.71621207,9.664885122
42046.55996,59.66371048,66.19562511,64.71819836,10.71876511,9.589067748,5.727619062,11.754652,17.70070907,9.227385366
42046.56007,59.68872477,66.24701586,64.88305505,11.14557006,9.566036192,5.489085629,12.05800557,17.35572839,9.268629203
42046.56019,59.72428541,66.18528598,63.28138205,10.70545805,9.583174065,5.043719715,11.7246292,17.23607583,8.988325203
42046.56031,59.76358688,66.23727031,63.5345323,11.45087672,9.459492777,5.314370523,11.79691745,16.46707023,9.045804596
42046.56042,59.7818018,66.15800859,63.67124741,11.36453148,10.2409488,4.978714676,12.17353871,16.62926765,8.284246105
42046.56054,59.82331918,66.25476403,64.25066076,10.98676543,9.551144004,5.715113113,11.90617248,17.32794371,8.763522023
42046.56065,59.84524002,66.25356706,63.55810798,10.63101904,9.538607735,5.20414226,12.39343094,17.27610108,8.514806938
42046.56077,59.85968355,66.34212018,63.76660176,11.42219575,9.190600284,5.078014937,12.46750265,16.54227841,9.066009721
42046.56088,59.89547884,66.19416738,64.74317793,11.14484541,10.12895018,5.555402709,12.37995045,17.18299602,8.351033154
42046.561,59.89468025,66.26370422,62.76172391,10.47074474,9.444524945,5.378628637,11.93394233,16.85400198,8.679881272
42046.56112,59.94228016,66.33449879,63.19193421,10.77227763,9.663573985,5.018720836,12.11223115,16.97170018,8.65343043
42046.56123,59.9693764,66.39065613,63.53027703,11.07762318,8.849907493,5.229453444,11.74338616,17.54793938,9.081967365
42046.56135,59.98078957,66.44639378,64.36467053,10.83637112,9.310837212,5.489838147,11.9090722,17.93583721,8.882714641
42046.56146,60.04173172,66.36542701,63.99342933,10.85413768,9.692850493,5.270542889,12.07212233,17.4416907,8.662085233
